127.0.0.1 - - [24/Jun/2021:09:13:23 +0800] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [24/Jun/2021:09:13:24 +0800] "GET /Course-Registration/ HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:09:13:24 +0800] "GET /Course-Registration/showMyLoginPage HTTP/1.1" 200 2575
127.0.0.1 - - [24/Jun/2021:09:13:37 +0800] "POST /Course-Registration/authenticateTheUser HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:09:13:37 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 2688
127.0.0.1 - - [24/Jun/2021:09:13:37 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:13:42 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 2366
127.0.0.1 - - [24/Jun/2021:09:13:42 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:13:45 +0800] "GET /Course-Registration/students/reviews?courseId=1 HTTP/1.1" 200 1071
127.0.0.1 - - [24/Jun/2021:09:13:45 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:13:51 +0800] "GET /Course-Registration/students/rate?courseId=1 HTTP/1.1" 200 2861
127.0.0.1 - - [24/Jun/2021:09:13:51 +0800] "GET /Course-Registration/students/rate?courseId=1 HTTP/1.1" 200 2861
127.0.0.1 - - [24/Jun/2021:09:13:56 +0800] "POST /Course-Registration/students/processReview HTTP/1.1" 200 3011
127.0.0.1 - - [24/Jun/2021:09:14:00 +0800] "GET /Course-Registration/students/reviews?courseId=1 HTTP/1.1" 200 1071
127.0.0.1 - - [24/Jun/2021:09:14:00 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:02 +0800] "GET /Course-Registration/students/myCourse?courseId=1 HTTP/1.1" 200 2366
127.0.0.1 - - [24/Jun/2021:09:14:02 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:08 +0800] "GET /Course-Registration/students/dropout?courseId=3 HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:09:14:08 +0800] "GET /Course-Registration/students/myCourse?username=lingrong%40gmail.com HTTP/1.1" 200 1772
127.0.0.1 - - [24/Jun/2021:09:14:08 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:11 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 2688
127.0.0.1 - - [24/Jun/2021:09:14:11 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:15 +0800] "GET /Course-Registration/students/enroll?courseId=1 HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:09:14:15 +0800] "GET /Course-Registration/students/?username=lingrong%40gmail.com HTTP/1.1" 200 2688
127.0.0.1 - - [24/Jun/2021:09:14:15 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:17 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 1772
127.0.0.1 - - [24/Jun/2021:09:14:17 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:19 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 2688
127.0.0.1 - - [24/Jun/2021:09:14:19 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:22 +0800] "GET /Course-Registration/students/enroll?courseId=3 HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:09:14:22 +0800] "GET /Course-Registration/students/?username=lingrong%40gmail.com HTTP/1.1" 200 2688
127.0.0.1 - - [24/Jun/2021:09:14:22 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:23 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 2366
127.0.0.1 - - [24/Jun/2021:09:14:23 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:26 +0800] "GET /Course-Registration/students/reviews?courseId=3 HTTP/1.1" 200 1460
127.0.0.1 - - [24/Jun/2021:09:14:26 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:09:14:36 +0800] "GET /Course-Registration/students/myCourse?courseId=3 HTTP/1.1" 200 2366
127.0.0.1 - - [24/Jun/2021:09:14:36 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:03:37 +0800] "GET /Course-Registration/ HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:03:37 +0800] "GET /Course-Registration/showMyLoginPage HTTP/1.1" 200 2575
127.0.0.1 - - [24/Jun/2021:16:03:45 +0800] "POST /Course-Registration/authenticateTheUser HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:03:45 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 16014
127.0.0.1 - - [24/Jun/2021:16:03:45 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:03:57 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 4187
127.0.0.1 - - [24/Jun/2021:16:03:57 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
